OBJECTID,UCR,CRIME,DATE_,TIME,CASE,ADDRESS,BEAT,X_COORD,Y_COORD
92308,245,50$ to 200$,6/22/2014,16:54,D140065624A,5130 E 10TH ST,NE50,211253.47,1651493.17
92309,245,50$ to 200$,6/23/2014,5:30,D140065761A,609 PROSPECT ST,SE20,192734.67,1640840.8
92310,245,50$ to 200$,6/23/2014,7:30,D140066100A,110 ARSENAL AV,NE20,196866.37,1646697.97
92311,245,50$ to 200$,6/24/2014,15:39,D140066471A,703 E 30TH ST,ND10,193892.49,1661703.73
92312,245,50$ to 200$,6/25/2014,16:20,D140066934A,7845 CULLEN DR,NE60,226322.67,1658349.78
92313,245,50$ to 200$,6/26/2014,6:30,D140067307A,329 W 41ST ST,ND10,188036.22,1669349.27
92314,245,50$ to 200$,6/26/2014,15:00,D140067375A,940 HARDIN BL,SW60,160230.19,1641146.63
92315,245,50$ to 200$,6/30/2014,8:00,D140069506A,1725 E 56TH ST,ND50,197452.09,1678044.34
92316,245,50$ to 200$,7/1/2014,2:30,D140068976A,2917 TINDALL ST,SE20,197902.64,1630763.12
92317,245,50$ to 200$,7/1/2014,13:30,D140069165A,10507 CANDY APPLE LN,NE70,239682.99,1669664.59
92318,245,50$ to 200$,7/1/2014,17:34,D140069298A,9168 E 42ND ST,NE70,232716.51,1670215.19
92319,245,50$ to 200$,7/1/2014,18:26,D140069217A,4540 MARCY LN,ND10,196695.27,1672511.42
92320,245,50$ to 200$,7/2/2014,12:49,D140069467A,NEW YORK & SHERMAN DR,NE20,205664.71,1647963.33
92321,245,50$ to 200$,7/2/2014,18:09,D140069593A,4027 TAHOE DR,NE70,245109.55,1669282.31
92322,245,50$ to 200$,7/3/2014,5:00,D140071376A,5919 RIVA RIDGE DR,SE40,216108.46,1622242.91
92323,245,50$ to 200$,7/3/2014,10:54,D140070802A,3263 N NEW JERSEY ST,ND10,192089.4,1663713.2
92324,245,50$ to 200$,7/3/2014,16:30,D140070015A,4545 E 10TH ST,NE50,208472.64,1651357.59
92325,245,50$ to 200$,7/5/2014,0:00,D140070539A,708 E 11TH ST,DT20,194014.31,1651621.79
92326,245,50$ to 200$,7/5/2014,5:30,D140070406A,1229 PROSPECT ST,SE10,195653.19,1640815.05
92327,245,50$ to 200$,7/5/2014,11:30,D140070794A,3800 N KENWOOD AVE,ND10,189396.11,1667271.05
92328,245,50$ to 200$,7/6/2014,22:00,D140071233A,5029 BEECH DR,NW60,170173,1674482.96
92329,245,50$ to 200$,7/8/2014,3:00,D140071627A,1333 FLETCHER AVE,SE10,196076.66,1642770.08
92330,245,50$ to 200$,7/8/2014,17:00,D140071764A,3307 WATERGATE RD,NW30,164027.67,1663874.44
92331,245,50$ to 200$,7/8/2014,18:22,D140071671A,7170 TARRAGON CT,SE50,207158.34,1608168.58
